,date,personnel
0,2022-02-25,2800
1,2022-02-26,4300
2,2022-02-27,4500
3,2022-02-28,5300
4,2022-03-01,5710
5,2022-03-02,5840
6,2022-03-03,9000
7,2022-03-04,9166
8,2022-03-05,10000
9,2022-03-06,11000
10,2022-03-07,11000
11,2022-03-08,12000
12,2022-03-09,12000
13,2022-03-10,12000
14,2022-03-11,12000
15,2022-03-12,12000
16,2022-03-13,12000
17,2022-03-14,12000
18,2022-03-15,13500
19,2022-03-16,13800
20,2022-03-17,14000
21,2022-03-18,14200
22,2022-03-19,14400
23,2022-03-20,14700
24,2022-03-21,15000
25,2022-03-22,15300
26,2022-03-23,15600
27,2022-03-24,15800
28,2022-03-25,16100
29,2022-03-26,16400
30,2022-03-27,16600
31,2022-03-28,17000
32,2022-03-29,17200
33,2022-03-30,17300
34,2022-03-31,17500
35,2022-04-01,17700
36,2022-04-02,17700
37,2022-04-03,18000
38,2022-04-04,18300
39,2022-04-05,18500
40,2022-04-06,18600
41,2022-04-07,18900
42,2022-04-08,19000
43,2022-04-09,19100
44,2022-04-10,19300
45,2022-04-11,19500
46,2022-04-12,19600
47,2022-04-13,19800
48,2022-04-14,19900
49,2022-04-15,20000
50,2022-04-16,20100
51,2022-04-17,20300
52,2022-04-18,20600
53,2022-04-19,20800
54,2022-04-20,20900
55,2022-04-21,21000
56,2022-04-22,21200
57,2022-04-23,21600
58,2022-04-24,21800
59,2022-04-25,21900
60,2022-04-26,22100
61,2022-04-27,22400
62,2022-04-28,22800
63,2022-04-29,23000
64,2022-04-30,23200
65,2022-05-01,23500
66,2022-05-02,23800
67,2022-05-03,24200
68,2022-05-04,24500
69,2022-05-05,24700
70,2022-05-06,24900
71,2022-05-07,25100
72,2022-05-08,25500
73,2022-05-09,25650
74,2022-05-10,26000
75,2022-05-11,26350
76,2022-05-12,26650
77,2022-05-13,26900
78,2022-05-14,27200
79,2022-05-15,27400
80,2022-05-16,27700
81,2022-05-17,27900
82,2022-05-18,28300
83,2022-05-19,28500
84,2022-05-20,28700
85,2022-05-21,28850
86,2022-05-22,29050
87,2022-05-23,29200
88,2022-05-24,29350
89,2022-05-25,29450
90,2022-05-26,29600
91,2022-05-27,29750
92,2022-05-28,30000
93,2022-05-29,30150
94,2022-05-30,30350
95,2022-05-31,30500
96,2022-06-01,30700
97,2022-06-02,30850
98,2022-06-03,30950
99,2022-06-04,31050
100,2022-06-05,31150
101,2022-06-06,31250
102,2022-06-07,31360
103,2022-06-08,31500
104,2022-06-09,31700
105,2022-06-10,31900
106,2022-06-11,32050
107,2022-06-12,32150
108,2022-06-13,32300
109,2022-06-14,32500
110,2022-06-15,32750
111,2022-06-16,32950
112,2022-06-17,33150
113,2022-06-18,33350
114,2022-06-19,33600
115,2022-06-20,33800
116,2022-06-21,34100
117,2022-06-22,34230
118,2022-06-23,34430
119,2022-06-24,34530
120,2022-06-25,34700
121,2022-06-26,34850
122,2022-06-27,35000
123,2022-06-28,35250
124,2022-06-29,35450
125,2022-06-30,35600
126,2022-07-01,35750
127,2022-07-02,35870
128,2022-07-03,35970
129,2022-07-04,36200
130,2022-07-05,36350
131,2022-07-06,36500
132,2022-07-07,36650
133,2022-07-08,36900
134,2022-07-09,37200
135,2022-07-10,37300
136,2022-07-11,37400
137,2022-07-12,37470
138,2022-07-13,37570
139,2022-07-14,37870
140,2022-07-15,38000
141,2022-07-16,38140
142,2022-07-17,38300
143,2022-07-18,38450
144,2022-07-19,38550
145,2022-07-20,38750
146,2022-07-21,38850
147,2022-07-22,39000
148,2022-07-23,39240
149,2022-07-24,39520
150,2022-07-25,39700
151,2022-07-26,39870
152,2022-07-27,40070
153,2022-07-28,40230
154,2022-07-29,40500
155,2022-07-30,40670
156,2022-07-31,40830
