date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2023-01-10,,"Improving Human Security through Community-Based, Community-Led Solutions in Conflict-Affected Repatriation Areas in Ukraine and Strengthening Consular Services of Ukraine",3920000,"Japan, Government of",Governments,JPN,2023,2023,,,,International Organization for Migration,Multilateral Organizations,Multi-sector,UKR,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-01-20,2023-01-10,,,,,267675,,2023-01-30,2023-02-01
2023-01-04,,OCT 10863 [OCT 10863],462962,"Japan, Government of",Governments,JPN,2023,2023,,,,Ukraine Humanitarian Fund,Pooled Funds,,UKR,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-01-06,2023-01-04,,,,,266786,OCT 10863,2023-01-13,2023-01-13
2023-01-04,,OCT 10863 [OCT 10863];[YY/OCHA/1],2055463,"Japan, Government of",Governments,JPN,2023,2023,,,,Office for the Coordination of Humanitarian Affairs,Multilateral Organizations,Coordination and support services,UKR,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-01-06,2023-01-04,,,,,266791,[OCT 10863];[YY/OCHA/1],2023-01-13,2023-01-13
2023-01-04,,Emergency and Rehabilitation Activities for Ukraine,2275000,"Japan, Government of",Governments,JPN,2023,2023,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Multi-sector,UKR,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-01-20,2023-01-04,,,,,267632,,2023-01-30,2023-02-01
2022-12-30,,OCT 30104 [OCT 30104];[N&#176; 12-1/8186],239872,"Estonia, Government of",Governments,EST,2022,2022,,,,Office for the Coordination of Humanitarian Affairs,Multilateral Organizations,Coordination and support services,UKR,,,,2023,2023,financial,Standard,Traditional aid,incoming,single,paid,2022-12-30,2022-12-28,,225000,EUR,0.938,266415,[OCT 30104];[N&#176; 12-1/8186],2022-12-31,2023-01-04
2022-12-21,,"Save the Children International Humanitarian Fund nonthematic, flexible",34120000,Save the Children,NGOs,,2022,2022,,,,Save the Children,NGOs,,UKR,,,Ukraine Crisis 2022,2022,2024,financial,Standard,Traditional aid,incoming,shared,commitment,2022-12-21,2022-12-21,Multiyear,,,,265795,99701127,2022-12-22,2022-12-22
2022-12-21,,"Save the Children International Humanitarian Fund nonthematic, flexible",2626269,Save the Children,NGOs,,2022,2022,,,,Save the Children,NGOs,,UKR,,,Ukraine Crisis 2022,2022,2024,financial,Standard,Traditional aid,incoming,shared,commitment,2022-12-21,2022-12-21,Multiyear,,,,265796,99701157,2022-12-22,2022-12-22
2022-12-20,2022,Nothilfe durch Bereitstellung von psychosozialer und medizinischer Versorgung für die kriegsbetroffene Bevölkerung in Moldau und der Ukraine,0,"Germany, Government of",Governments,DEU,2022,2022,,,,action medeor,NGOs,,UKR,,,,2022,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2022-12-20,2022-12-20,Multiyear,0,EUR,0.938,265461,EUR 08/22,2022-12-21,2022-12-21
2022-12-20,2023,Nothilfe durch Bereitstellung von psychosozialer und medizinischer Versorgung für die kriegsbetroffene Bevölkerung in Moldau und der Ukraine,2588790,"Germany, Government of",Governments,DEU,2022,2022,,,,action medeor,NGOs,Health,UKR,,,Ukraine Crisis 2022,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-12-20,2022-12-20,Multiyear,2428285,EUR,0.938,265463,EUR 08/22,2022-12-21,2022-12-21
2022-12-20,2023,Nothilfe durch Bereitstellung von psychosozialer und medizinischer Versorgung für die kriegsbetroffene Bevölkerung in Moldau und der Ukraine,165241,"Germany, Government of",Governments,DEU,2022,2022,,,,action medeor,NGOs,Protection,UKR,,,Ukraine Crisis 2022,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-12-20,2022-12-20,Multiyear,154996,EUR,0.938,265512,EUR 08/22,2022-12-21,2022-12-21
2022-12-20,,"Strengthening of border control to prevent illegal trade and legal transportation of grains and humanitarian goods in Ukraine and Moldova, as well as emergency measures for victims of trafficking in persons",925925,"Japan, Government of",Governments,JPN,2023,2023,,,,United Nations Office on Drugs and Crime,Multilateral Organizations,Multi-sector,"MDA,UKR",,,,2023,2023,financial,Standard,Traditional aid,incoming,shared,commitment,2023-01-19,2022-12-20,,,,,267629,,2023-01-30,2023-02-01
2022-12-19,2022,aide d'urgence dans l'oblast de Zaporijia,326359,"France, Government of",Governments,FRA,2022,2022,,,,Schools Association for Formal Education,NGOs,Health,UKR,,,Ukraine Crisis 2022,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-12-19,2022-12-19,,306451,EUR,0.939,265371,,2022-12-20,2023-01-12
2022-12-19,2022,fournir un soutien à la préparation à l'hiver aux personnes affectées par le conflit en Ukraine et en Roumanie,2129925,"France, Government of",Governments,FRA,2022,2022,,,,Agency for Technical Cooperation and Development,NGOs,Early Recovery,UKR,,,Ukraine Crisis 2022,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-12-19,2022-12-19,,2000000,EUR,0.939,265379,,2022-12-20,2023-01-12
2022-12-19,2022,aide d'urgence à destination des populations affectées par le conflit en Ukraine,2129925,"France, Government of",Governments,FRA,2022,2022,,,,International Rescue Committee,NGOs,Other,UKR,,,Ukraine Crisis 2022,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2022-12-19,2022-12-19,,2000000,EUR,0.939,265384,,2022-12-20,2023-01-12
2022-12-19,,Ukraine/Crisis	Ukraine Health,4406948,"United States of America, Government of",Governments,USA,2023,2023,,,,World Health Organization,Multilateral Organizations,Health,UKR,,,Ukraine Crisis 2022,2023,2023,financial,Standard,Traditional aid,incoming,single,commitment,2023-01-11,2022-12-19,USAID/BHA,,,,267517,720BHA21IO00302,2023-01-20,2023-01-20
